Zone,Name,% Annual Visits,Visits/Acre
1,Northwest Corner,2.4,111000
2,North Woods,2.6,45000
3,Harlem Meer & Lasker Rink,6.1,110000
4,Great Hill,3.2,45000
5,The Ravine,1.4,26000
6,The Mount,1.5,40000
7,Conservatory Garden,2.8,220000
8,The Pool,3.4,82000
9,North Meadow & Recreation Center,4.1,27000
10,East Meadow,3.3,63000
11,W90s Landscape/Playgrounds,4.1,105000
12,Tennis Courts,2.8,38000
13,The Reservoir,11.8,100000
14,West 86 - 90 Landscape,2.2,116000
15,Summit Rock/W 80s Playgrounds,6.1,101000
16,Great Lawn & The Belvedere,14.0,80000
17,Metropolitan Museum Landscape,8.3,208000
18,Naturalists' Walk,5.4,142000
19,Ramble & The Lake,8.6,67000
20,Cedar Hill,6.0,177000
21,Strawberry Fields,6.8,424000
22,Bethesda Terrace & Cherry Hill,8.0,206000
23,Conservatory Water,6.6,138000
24,W. 60s/Tavern on Green,7.3,204000
25,Sheep Meadow,8.3,90000
26,The Mall,8.1,96000
27,The Dene & East Green,6.9,123000
28,Southwest Corner,13.2,253000
29,Heckscher Playground/Ball Fields,12.1,134000
30,The Pond & Wollman Rink,15.2,186000
31,"The Zoo, Arsenal, & Wein Walk",10.7,276000
32,Grand Army Plaza,5.7,1186000
